Filename,VisibleWingAreaInPixels,WingHeightInPixels,Cell,CellAreaInPixels,CellPerimeterInPixels
Round01-Hive03-2024_06_14-h03b03.JPG,195353.0,406,MC,24891,884
Round01-Hive03-2024_06_14-h03b03.JPG,195353.0,406,1sMC,7666,395
Round01-Hive03-2024_06_14-h03b03.JPG,195353.0,406,2sMC,8931,419
Round01-Hive03-2024_06_14-h03b03.JPG,195353.0,406,3sMC,10455,415
Round01-Hive03-2024_06_14-h03b03.JPG,195353.0,406,2MdC,28138,815
Round01-Hive03-2024_06_14-h03b42.JPG,138006.0,333,FWL,135236,1866
Round01-Hive03-2024_06_14-h03b42.JPG,138006.0,333,MC,16352,748
Round01-Hive03-2024_06_14-h03b42.JPG,138006.0,333,1sMC,5101,319
Round01-Hive03-2024_06_14-h03b42.JPG,138006.0,333,2sMC,6580,350
Round01-Hive03-2024_06_14-h03b42.JPG,138006.0,333,3sMC,6737,331
Round01-Hive03-2024_06_14-h03b42.JPG,138006.0,333,2MdC,18999,671
Round01-Hive03-2024_06_20-h03b73.JPG,115036.0,321,FWL,114311,1822
Round01-Hive03-2024_06_20-h03b73.JPG,115036.0,321,MC,14793,701
Round01-Hive03-2024_06_20-h03b73.JPG,115036.0,321,1sMC,4541,307
Round01-Hive03-2024_06_20-h03b73.JPG,115036.0,321,2sMC,5685,324
Round01-Hive03-2024_06_20-h03b73.JPG,115036.0,321,3sMC,5578,303
Round01-Hive03-2024_06_20-h03b73.JPG,115036.0,321,2MdC,14372,612
Round01-Hive03-2024_06_20-IMG_0016.JPG,225067.0,388,FWL,186311,2228
Round01-Hive03-2024_06_20-IMG_0016.JPG,225067.0,388,MC,21359,818
Round01-Hive03-2024_06_20-IMG_0016.JPG,225067.0,388,1sMC,7197,375
Round01-Hive03-2024_06_20-IMG_0016.JPG,225067.0,388,2sMC,8866,413
Round01-Hive03-2024_06_20-IMG_0016.JPG,225067.0,388,3sMC,9575,396
Round01-Hive03-2024_06_20-IMG_0016.JPG,225067.0,388,2MdC,26332,800
Round01-Hive03-2024_06_25-h03b10.JPG,172350.0,341,FWL,142586,2224
Round01-Hive03-2024_06_25-h03b10.JPG,172350.0,341,MC,17178,709
Round01-Hive03-2024_06_25-h03b10.JPG,172350.0,341,1sMC,5580,331
Round01-Hive03-2024_06_25-h03b10.JPG,172350.0,341,2sMC,6676,357
Round01-Hive03-2024_06_25-h03b10.JPG,172350.0,341,3sMC,7221,345
