Filename,VisibleWingAreaInPixels,WingHeightInPixels,Cell,CellAreaInPixels,CellPerimeterInPixels,median_marker_length_in_pixels
Round01-Hive01-2024_06_27-h01b16.JPG,214321.0,404,1sMC,4685.0,312.0,"592,8757935"
Round01-Hive01-2024_06_27-h01b16.JPG,214321.0,404,2sMC,5292.0,317.0,"592,8757935"
Round01-Hive01-2024_06_27-h01b16.JPG,214321.0,404,3sMC,6405.0,329.0,"592,8757935"
Round01-Hive01-2024_06_27-h01b16.JPG,214321.0,404,2MdC,16693.0,607.0,"592,8757935"
Round01-Hive01-2024_06_27-h01b16.JPG,214321.0,404,FWL,114950.0,1675.0,"592,8757935"
Round01-Hive01-2024_06_27-h01b17.JPG,212641.5,388,MC,12424.0,619.0,"591,2462158"
Round01-Hive01-2024_06_27-h01b17.JPG,212641.5,388,1sMC,4141.0,297.0,"591,2462158"
Round01-Hive01-2024_06_27-h01b17.JPG,212641.5,388,2sMC,4375.0,288.0,"591,2462158"
Round01-Hive01-2024_06_27-h01b17.JPG,212641.5,388,3sMC,4950.0,282.0,"591,2462158"
Round01-Hive01-2024_06_27-h01b17.JPG,212641.5,388,2MdC,13850.0,558.0,"591,2462158"
Round01-Hive01-2024_06_27-h01b17.JPG,212641.5,388,FWL,100861.0,1602.0,"591,2462158"
Round01-Hive01-2024_06_27-h01b21.JPG,264434.5,452,MC,16781.0,705.0,"610,9527588"
Round01-Hive01-2024_06_27-h01b21.JPG,264434.5,452,1sMC,6220.0,363.0,"610,9527588"
Round01-Hive01-2024_06_27-h01b21.JPG,264434.5,452,2sMC,7026.0,363.0,"610,9527588"
Round01-Hive01-2024_06_27-h01b21.JPG,264434.5,452,3sMC,7408.0,351.0,"610,9527588"
Round01-Hive01-2024_06_27-h01b21.JPG,264434.5,452,2MdC,20200.0,680.0,"610,9527588"
Round01-Hive01-2024_06_27-h01b21.JPG,264434.5,452,FWL,147561.0,1878.0,"610,9527588"
Round01-Hive01-2024_06_27-h01b26.JPG,262850.5,436,MC,17238.0,708.0,"616,0652466"
Round01-Hive01-2024_06_27-h01b26.JPG,262850.5,436,1sMC,5209.0,325.0,"616,0652466"
Round01-Hive01-2024_06_27-h01b26.JPG,262850.5,436,2sMC,5956.0,336.0,"616,0652466"
Round01-Hive01-2024_06_27-h01b26.JPG,262850.5,436,3sMC,6772.0,335.0,"616,0652466"
